,county00,geoid00,geoid10,poppct00,poppct10
118,21,48021950500,48021950501,55.55,100.0
119,21,48021950500,48021950502,44.45,100.0
124,21,48021950800,48021950801,50.52,100.0
125,21,48021950800,48021950802,49.48,100.0
957,55,48055960100,48055960101,59.43,100.0
958,55,48055960100,48055960102,40.57,100.0
4402,209,48209010301,48209010303,55.66,100.0
4403,209,48209010301,48209010304,44.34,100.0
4409,209,48209010700,48209010701,70.75,100.0
4410,209,48209010700,48209010702,29.25,100.0
4411,209,48209010801,48209010805,25.91,100.0
4412,209,48209010801,48209010806,16.5,100.0
4413,209,48209010801,48209010807,8.86,100.0
4414,209,48209010801,48209010808,26.38,100.0
4415,209,48209010801,48209010809,22.35,100.0
4416,209,48209010802,48209010803,33.26,100.0
4417,209,48209010802,48209010804,66.74,100.0
4422,209,48209010903,48209010907,59.93,100.0
4423,209,48209010903,48209010908,40.07,100.0
4425,209,48209010904,48209010905,18.67,100.0
4426,209,48209010904,48209010906,37.85,100.0
4427,209,48209010904,48209010909,17.18,100.0
4428,209,48209010904,48209010910,26.3,100.0
6784,453,48453000201,48453000205,55.81,100.0
6785,453,48453000201,48453000206,44.19,100.0
6789,453,48453000301,48453000304,48.58,100.0
6790,453,48453000301,48453000305,51.42,100.0
6792,453,48453000303,48453000306,61.24,100.0
6793,453,48453000303,48453000307,38.76,100.0
6855,453,48453001715,48453001781,31.24,100.0
6856,453,48453001715,48453001782,68.76,100.0
6866,453,48453001732,48453001770,41.3,100.0
6867,453,48453001732,48453001772,11.2,100.0
6868,453,48453001732,48453001774,29.52,100.0
6869,453,48453001732,48453001775,17.99,100.0
6876,453,48453001739,48453001776,33.62,100.0
6877,453,48453001739,48453001777,66.38,100.0
6883,453,48453001743,48453001783,48.73,100.0
6884,453,48453001743,48453001784,51.22,98.07
6887,453,48453001744,48453001785,46.24,100.0
6888,453,48453001744,48453001786,53.72,100.0
6908,453,48453001758,48453002500,100.0,49.47
6909,453,48453001759,48453002500,100.0,50.53
6914,453,48453001762,48453001771,31.27,100.0
6915,453,48453001762,48453001773,39.83,100.0
6916,453,48453001762,48453001778,28.9,100.0
6925,453,48453001767,48453001779,59.87,99.84
6926,453,48453001767,48453001780,40.13,100.0
6954,453,48453001836,48453001855,40.19,100.0
6955,453,48453001836,48453001857,17.04,100.0
6956,453,48453001836,48453001860,11.7,100.0
6957,453,48453001836,48453001861,13.78,100.0
6958,453,48453001836,48453001862,17.29,100.0
6961,453,48453001837,48453001854,18.28,100.0
6963,453,48453001837,48453001856,19.74,100.0
6964,453,48453001837,48453001858,56.97,100.0
6965,453,48453001837,48453001859,5.0,100.0
6994,453,48453001852,48453001863,54.72,100.0
