state00,county00,tract00,geoid00,pop00,hu00,part00,area00,arealand00,state10,county10,tract10,geoid10,pop10,hu10,part10,area10,arealand10,areaapt,arealandpt,areapct00pt,arealandpct00pt,areapct10pt,arealandpct10pt,pop10pt,poppct00,poppct10,hu10pt,hupct00,hupct10
05,081,030200,05081030200,2587,1289,P,416092559,401514170,48,037,011300,48037011300,5652,2544,P,317359293,311229121,5779,1621,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
05,091,020800,05091020800,5163,2359,P,54105671,53961837,48,037,011100,48037011100,6840,2159,P,59942694,59856709,3168,3168,0.01,0.01,0.01,0.01,0,0.00,0.00,0,0.00,0.00
22,011,960600,22011960600,3257,1528,P,900097178,892493354,48,351,950300,48351950300,2690,1328,P,487571868,485357005,21136,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
35,015,000700,35015000700,5179,2180,P,4462050355,4456645011,48,109,950300,48109950300,2398,1137,P,9875656241,9875100057,87471,87471,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
40,007,951700,40007951700,1327,723,P,2711140365,2709915450,48,295,950200,48295950200,2083,822,P,711833149,711749295,7728,7728,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
40,007,951700,40007951700,1327,723,P,2711140365,2709915450,48,357,950100,48357950100,1677,730,P,2352940195,2351608417,12118,12118,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
40,139,951000,40139951000,1615,720,P,1784266948,1774822724,48,421,950200,48421950200,3034,1252,P,2391079318,2390650564,50353,50353,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,001,950100,48001950100,4830,2338,P,482788045,474933340,48,001,950100,48001950100,4685,2286,P,491172874,483306765,479766406,471966839,99.37,99.38,97.68,97.65,4658,96.44,99.42,2270,97.09,99.30
48,001,950100,48001950100,4830,2338,P,482788045,474933340,48,001,950902,48001950902,4834,2341,P,446310225,441362412,3021639,2966501,0.63,0.62,0.68,0.67,172,3.56,3.56,68,2.91,2.90
48,001,950200,48001950200,3512,1699,P,509247454,501668837,48,001,950100,48001950100,4685,2286,P,491172874,483306765,11331243,11266005,2.23,2.25,2.31,2.33,24,0.68,0.51,15,0.88,0.66
48,001,950200,48001950200,3512,1699,P,509247454,501668837,48,001,950401,48001950401,5422,101,P,16846566,16549795,3666,3635,0.00,0.00,0.02,0.02,0,0.00,0.00,0,0.00,0.00
48,001,950200,48001950200,3512,1699,P,509247454,501668837,48,001,950402,48001950402,7535,110,P,75099886,72470109,64595,2131,0.01,0.00,0.09,0.00,0,0.00,0.00,0,0.00,0.00
48,001,950200,48001950200,3512,1699,P,509247454,501668837,48,001,951100,48001951100,4388,2167,P,782782335,769912143,497847950,490397066,97.76,97.75,63.60,63.70,3488,99.32,79.49,1684,99.12,77.71
48,001,950300,48001950300,900,483,W,284904769,279515077,48,001,951100,48001951100,4388,2167,P,782782335,769912143,284904769,279515077,100.00,100.00,36.40,36.30,900,100.00,20.51,483,100.00,22.29
48,001,950400,48001950400,12957,211,P,91993260,89107232,48,001,950401,48001950401,5422,101,P,16846566,16549795,16835259,16546160,18.30,18.57,99.93,99.98,5422,41.85,100.00,101,47.87,100.00
48,001,950400,48001950400,12957,211,P,91993260,89107232,48,001,950402,48001950402,7535,110,P,75099886,72470109,75035291,72467978,81.57,81.33,99.91,100.00,7535,58.15,100.00,110,52.13,100.00
48,001,950400,48001950400,12957,211,P,91993260,89107232,48,001,950901,48001950901,5938,2088,P,294822563,290056935,93094,93094,0.10,0.10,0.03,0.03,0,0.00,0.00,0,0.00,0.00
48,001,950400,48001950400,12957,211,P,91993260,89107232,48,001,951100,48001951100,4388,2167,P,782782335,769912143,29616,0,0.03,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,001,950500,48001950500,4377,1811,W,23139185,23039923,48,001,950500,48001950500,4377,1811,W,23139185,23039923,23139185,23039923,100.00,100.00,100.00,100.00,4377,100.00,100.00,1811,100.00,100.00
