,Team,Year,Yds/G_rush,TD_rush,Yds/G_pass,Pct,TD_pass,Sck,Rate,Pts/G,Pen Yds,TO
0,WAS,2012,169.3,22.0,213.9,65.8,24.0,33.0,102.1,27.2,985.0,17.0
1,MIN,2012,164.6,16.0,171.9,62.1,18.0,32.0,81.2,23.7,830.0,-1.0
2,SEA,2012,161.2,16.0,189.4,64.0,27.0,33.0,100.6,25.8,890.0,13.0
3,SF,2012,155.7,17.0,206.1,66.3,23.0,41.0,101.2,24.8,960.0,9.0
4,KC,2012,149.7,9.0,169.6,57.5,8.0,40.0,63.8,13.2,733.0,-24.0
5,BUF,2012,138.6,12.0,204.3,60.5,24.0,30.0,82.2,21.5,871.0,-13.0
6,NE,2012,136.5,25.0,291.4,62.7,34.0,27.0,97.7,34.8,840.0,25.0
7,HOU,2012,132.7,19.0,239.4,63.9,22.0,28.0,89.2,26.0,873.0,12.0
8,CAR,2012,130.5,21.0,230.2,58.0,19.0,36.0,86.5,22.3,835.0,1.0
9,CHI,2012,123.1,11.0,187.4,59.2,21.0,44.0,80.4,23.4,811.0,20.0
10,BAL,2012,118.8,17.0,233.7,59.6,22.0,38.0,86.4,24.9,1127.0,9.0
11,NYJ,2012,118.5,12.0,180.7,55.2,14.0,47.0,68.3,17.6,708.0,-14.0
12,PHI,2012,117.1,10.0,236.9,59.4,18.0,48.0,78.6,17.5,813.0,-24.0
13,NYG,2012,116.4,18.0,239.1,59.9,26.0,20.0,87.2,26.8,578.0,14.0
14,TB,2012,114.8,13.0,248.9,54.9,27.0,26.0,81.8,24.3,819.0,3.0
15,DEN,2012,114.5,12.0,283.4,68.4,37.0,21.0,105.3,30.1,805.0,-1.0
16,MIA,2012,112.6,15.0,198.9,58.1,13.0,37.0,76.7,18.0,724.0,-10.0
17,CIN,2012,109.1,11.0,223.6,62.0,28.0,46.0,88.1,24.4,857.0,4.0
18,LA,2012,107.1,5.0,221.9,59.6,22.0,35.0,82.7,18.7,978.0,-1.0
19,GB,2012,106.4,9.0,253.1,67.0,40.0,51.0,108.3,27.1,923.0,7.0
20,TEN,2012,105.4,10.0,207.7,58.9,17.0,39.0,76.9,20.6,847.0,-4.0
21,IND,2012,104.4,11.0,258.0,54.0,23.0,41.0,76.4,22.3,801.0,-12.0
22,DET,2012,100.8,17.0,307.9,60.1,22.0,29.0,81.5,23.2,944.0,-16.0
