Team,Year,W,L,T,PF,PA,DIFF,Playoffs,SB_win
SEA,2013,13.0,3.0,0.0,417.0,231.0,186.0,1.0,1
DEN,2013,13.0,3.0,0.0,606.0,399.0,207.0,1.0,0
SF,2013,12.0,4.0,0.0,406.0,272.0,134.0,1.0,0
NE,2013,12.0,4.0,0.0,444.0,338.0,106.0,1.0,0
CAR,2013,12.0,4.0,0.0,366.0,241.0,125.0,1.0,0
IND,2013,11.0,5.0,0.0,391.0,336.0,55.0,1.0,0
CIN,2013,11.0,5.0,0.0,430.0,305.0,125.0,1.0,0
KC,2013,11.0,5.0,0.0,430.0,305.0,125.0,1.0,0
NO,2013,11.0,5.0,0.0,414.0,304.0,110.0,1.0,0
PHI,2013,10.0,6.0,0.0,442.0,382.0,60.0,1.0,0
ARI,2013,10.0,6.0,0.0,379.0,324.0,55.0,0.0,0
LAC,2013,9.0,7.0,0.0,396.0,348.0,48.0,1.0,0
GB,2013,8.0,7.0,1.0,417.0,428.0,-11.0,1.0,0
PIT,2013,8.0,8.0,0.0,379.0,370.0,9.0,0.0,0
BAL,2013,8.0,8.0,0.0,320.0,352.0,-32.0,0.0,0
CHI,2013,8.0,8.0,0.0,445.0,478.0,-33.0,0.0,0
DAL,2013,8.0,8.0,0.0,439.0,432.0,7.0,0.0,0
NYJ,2013,8.0,8.0,0.0,290.0,387.0,-97.0,0.0,0
MIA,2013,8.0,8.0,0.0,317.0,335.0,-18.0,0.0,0
NYG,2013,7.0,9.0,0.0,294.0,383.0,-89.0,0.0,0
TEN,2013,7.0,9.0,0.0,362.0,381.0,-19.0,0.0,0
DET,2013,7.0,9.0,0.0,395.0,376.0,19.0,0.0,0
LA,2013,7.0,9.0,0.0,348.0,364.0,-16.0,0.0,0
BUF,2013,6.0,10.0,0.0,339.0,388.0,-49.0,0.0,0
MIN,2013,5.0,10.0,1.0,391.0,480.0,-89.0,0.0,0
OAK,2013,4.0,12.0,0.0,322.0,453.0,-131.0,0.0,0
CLE,2013,4.0,12.0,0.0,308.0,406.0,-98.0,0.0,0
JAC,2013,4.0,12.0,0.0,247.0,449.0,-202.0,0.0,0
ATL,2013,4.0,12.0,0.0,353.0,443.0,-90.0,0.0,0
TB,2013,4.0,12.0,0.0,288.0,389.0,-101.0,0.0,0
WAS,2013,3.0,13.0,0.0,334.0,478.0,-144.0,0.0,0
HOU,2013,2.0,14.0,0.0,276.0,428.0,-152.0,0.0,0
SEA,2014,12.0,4.0,0.0,394.0,254.0,140.0,1.0,0
NE,2014,12.0,4.0,0.0,468.0,313.0,155.0,1.0,1
GB,2014,12.0,4.0,0.0,486.0,348.0,138.0,1.0,0
DEN,2014,12.0,4.0,0.0,482.0,354.0,128.0,1.0,0
DAL,2014,12.0,4.0,0.0,467.0,352.0,115.0,1.0,0
PIT,2014,11.0,5.0,0.0,436.0,368.0,68.0,1.0,0
