,county00,tract00,geoid00,part00,tract10,geoid10,part10,poppct00,poppct10
118,21,950500,48021950500,P,950501,48021950501,P,55.55,100.0
119,21,950500,48021950500,P,950502,48021950502,P,44.45,100.0
124,21,950800,48021950800,P,950801,48021950801,P,50.52,100.0
125,21,950800,48021950800,P,950802,48021950802,W,49.48,100.0
957,55,960100,48055960100,P,960101,48055960101,P,59.43,100.0
958,55,960100,48055960100,P,960102,48055960102,P,40.57,100.0
4402,209,10301,48209010301,P,10303,48209010303,W,55.66,100.0
4403,209,10301,48209010301,P,10304,48209010304,W,44.34,100.0
4409,209,10700,48209010700,P,10701,48209010701,P,70.75,100.0
4410,209,10700,48209010700,P,10702,48209010702,P,29.25,100.0
4411,209,10801,48209010801,P,10805,48209010805,W,25.91,100.0
4412,209,10801,48209010801,P,10806,48209010806,W,16.5,100.0
4413,209,10801,48209010801,P,10807,48209010807,W,8.86,100.0
4414,209,10801,48209010801,P,10808,48209010808,W,26.38,100.0
4415,209,10801,48209010801,P,10809,48209010809,W,22.35,100.0
4416,209,10802,48209010802,P,10803,48209010803,P,33.26,100.0
4417,209,10802,48209010802,P,10804,48209010804,W,66.74,100.0
4422,209,10903,48209010903,P,10907,48209010907,W,59.93,100.0
4423,209,10903,48209010903,P,10908,48209010908,W,40.07,100.0
4425,209,10904,48209010904,P,10905,48209010905,W,18.67,100.0
4426,209,10904,48209010904,P,10906,48209010906,W,37.85,100.0
4427,209,10904,48209010904,P,10909,48209010909,W,17.18,100.0
4428,209,10904,48209010904,P,10910,48209010910,W,26.3,100.0
6784,453,201,48453000201,P,205,48453000205,W,55.81,100.0
6785,453,201,48453000201,P,206,48453000206,W,44.19,100.0
6789,453,301,48453000301,P,304,48453000304,W,48.58,100.0
6790,453,301,48453000301,P,305,48453000305,W,51.42,100.0
6792,453,303,48453000303,P,306,48453000306,W,61.24,100.0
6793,453,303,48453000303,P,307,48453000307,W,38.76,100.0
6855,453,1715,48453001715,P,1781,48453001781,W,31.24,100.0
6856,453,1715,48453001715,P,1782,48453001782,W,68.76,100.0
6866,453,1732,48453001732,P,1770,48453001770,W,41.3,100.0
6867,453,1732,48453001732,P,1772,48453001772,W,11.2,100.0
6868,453,1732,48453001732,P,1774,48453001774,W,29.52,100.0
6869,453,1732,48453001732,P,1775,48453001775,W,17.99,100.0
6876,453,1739,48453001739,P,1776,48453001776,W,33.62,100.0
6877,453,1739,48453001739,P,1777,48453001777,W,66.38,100.0
6883,453,1743,48453001743,P,1783,48453001783,W,48.73,100.0
