,2011,2012,2013,2014,2015,2016
78610,182900.0,183600.0,182400.0,183300.0,191900.0,208400.0
78613,192700.0,194700.0,198900.0,210100.0,221700.0,235700.0
78617,102900.0,100600.0,99700.0,96000.0,104200.0,115600.0
78641,157000.0,155400.0,156900.0,160200.0,171600.0,186100.0
78652,191200.0,194700.0,191200.0,189500.0,196700.0,216500.0
78653,143500.0,141300.0,141200.0,139400.0,145000.0,152600.0
78660,163000.0,163900.0,165700.0,168100.0,172900.0,180800.0
78664,147600.0,147600.0,149600.0,150400.0,157300.0,161100.0
78681,210300.0,213000.0,213300.0,219400.0,230100.0,239400.0
78701,317100.0,338300.0,372000.0,430800.0,440100.0,447100.0
78702,167500.0,175400.0,188000.0,203200.0,235400.0,251000.0
78703,593800.0,621900.0,641200.0,692800.0,704700.0,735000.0
78704,330100.0,338200.0,347500.0,361300.0,385700.0,421800.0
78705,300000.0,292500.0,307200.0,342000.0,385600.0,432800.0
78717,245700.0,243200.0,247200.0,253400.0,273200.0,286400.0
78719,105900.0,111000.0,112500.0,112200.0,113300.0,121200.0
78721,121700.0,121000.0,124800.0,140400.0,156800.0,178100.0
78722,251200.0,265100.0,279200.0,288600.0,293000.0,313300.0
78723,168300.0,176500.0,178500.0,189100.0,207600.0,231300.0
78724,106300.0,105700.0,102000.0,97900.0,109100.0,111500.0
78725,112900.0,114400.0,111800.0,115800.0,121100.0,123300.0
78726,348100.0,349900.0,344700.0,350500.0,358100.0,378200.0
78727,197300.0,198500.0,202600.0,206400.0,215500.0,226300.0
78728,167200.0,168600.0,170500.0,175200.0,182300.0,188100.0
78729,187300.0,192300.0,191300.0,198600.0,205600.0,218600.0
78730,579300.0,570400.0,580300.0,557000.0,576100.0,641200.0
78731,429700.0,436800.0,442300.0,452500.0,476400.0,509600.0
78732,375300.0,388600.0,389900.0,411100.0,467300.0,484100.0
78733,439800.0,467700.0,487900.0,489900.0,497900.0,528100.0
78734,322500.0,321700.0,326900.0,325000.0,340800.0,352300.0
78735,375100.0,379900.0,373400.0,387600.0,410400.0,426500.0
78736,212600.0,215500.0,228900.0,237000.0,266100.0,290200.0
78737,325000.0,324500.0,338700.0,341300.0,350900.0,370800.0
78738,459300.0,466700.0,460200.0,456300.0,469200.0,486000.0
78739,349000.0,350500.0,355900.0,364600.0,381400.0,394600.0
78741,117000.0,120200.0,127500.0,133400.0,139000.0,141300.0
78742,44200.0,54400.0,72100.0,84500.0,76400.0,80600.0
78744,108800.0,108100.0,106500.0,107200.0,106000.0,111400.0
78745,159800.0,166200.0,170200.0,174600.0,183900.0,204500.0
78746,610800.0,619900.0,634000.0,666600.0,713400.0,749000.0
78747,170700.0,163000.0,167800.0,168100.0,169400.0,177600.0
78748,181800.0,185500.0,187900.0,192800.0,205800.0,221000.0
78749,229900.0,233900.0,237800.0,248300.0,257400.0,275600.0
78750,295300.0,303100.0,306900.0,312500.0,322700.0,330500.0
78751,300300.0,292200.0,297200.0,295700.0,322900.0,366100.0
78752,148900.0,153000.0,163900.0,170600.0,187400.0,202800.0
78753,134000.0,134900.0,135700.0,136300.0,142700.0,150700.0
78754,164300.0,167600.0,163000.0,163000.0,159300.0,169300.0
78756,330600.0,342300.0,364400.0,377600.0,395600.0,454300.0
78757,238300.0,253300.0,259400.0,277100.0,302500.0,321200.0
78758,140700.0,144200.0,146100.0,147200.0,151200.0,159600.0
78759,302300.0,307800.0,312300.0,320900.0,341200.0,367600.0
