,2011,2012,2013,2014,2015,2016
78610,82702.0,83536.0,79049.0,74550.0,74250.0,75453.0
78613,81819.0,80694.0,81928.0,83146.0,84556.0,91033.0
78617,44334.0,43957.0,45212.0,45040.0,45995.0,47551.0
78641,67683.0,64442.0,71885.0,73535.0,77052.0,83526.0
78652,79107.0,77985.0,76604.0,70868.0,73194.0,78594.0
78653,55073.0,55398.0,59763.0,62415.0,62198.0,60880.0
78660,72137.0,71507.0,76007.0,75138.0,76368.0,78145.0
78664,62283.0,60442.0,61401.0,61673.0,62446.0,63923.0
78681,89900.0,92981.0,92453.0,96086.0,96100.0,98444.0
78701,63484.0,68152.0,86541.0,87306.0,96455.0,102112.0
78702,35350.0,34734.0,36197.0,37690.0,41016.0,48174.0
78703,85379.0,92606.0,80569.0,81903.0,88163.0,92746.0
78704,47336.0,50248.0,50930.0,52306.0,58601.0,62283.0
78705,11910.0,11917.0,12143.0,12786.0,12385.0,13349.0
78717,94112.0,93305.0,93701.0,99541.0,100364.0,103595.0
78719,39794.0,39500.0,38305.0,38875.0,41111.0,45250.0
78721,30591.0,32131.0,33798.0,36698.0,37234.0,38301.0
78722,44798.0,44917.0,50923.0,54526.0,64929.0,63559.0
78723,41839.0,41869.0,42939.0,42615.0,42433.0,42462.0
78724,37736.0,35711.0,38479.0,36776.0,39350.0,41308.0
78725,53131.0,52313.0,52381.0,65048.0,58707.0,55119.0
78726,66224.0,66096.0,67466.0,68777.0,70664.0,95646.0
78727,63952.0,65687.0,69570.0,69699.0,72953.0,72535.0
78728,46870.0,47405.0,48612.0,49521.0,53510.0,55619.0
78729,61165.0,57358.0,60690.0,60567.0,65279.0,70164.0
78730,121765.0,119573.0,120568.0,108421.0,105022.0,105086.0
78731,80192.0,78265.0,75269.0,79315.0,82892.0,83438.0
78732,125171.0,127726.0,131216.0,128397.0,132980.0,138734.0
78733,119516.0,124831.0,122860.0,127250.0,130964.0,129875.0
78734,85233.0,82904.0,87300.0,92904.0,95539.0,98019.0
78735,74857.0,74571.0,79984.0,81152.0,89245.0,94375.0
78736,85826.0,84375.0,84940.0,86439.0,92581.0,97049.0
78737,115714.0,116250.0,121094.0,122886.0,127934.0,123312.0
78738,121522.0,126233.0,118795.0,127683.0,128160.0,121505.0
78739,132552.0,126525.0,128597.0,130199.0,132026.0,134313.0
78741,30021.0,30183.0,30871.0,31192.0,31657.0,34950.0
78742,21071.0,34076.0,19688.0,35700.0,37375.0,36250.0
78744,39652.0,41056.0,41721.0,41331.0,42440.0,43871.0
78745,48029.0,49243.0,50672.0,52949.0,55365.0,56778.0
78746,129188.0,125327.0,128936.0,128556.0,128184.0,132551.0
78747,56357.0,57904.0,61599.0,62243.0,67313.0,75698.0
78748,66661.0,65889.0,66309.0,68835.0,70141.0,72908.0
78749,79712.0,80956.0,84907.0,84954.0,89713.0,87421.0
78750,79685.0,75958.0,76236.0,73659.0,76285.0,79228.0
78751,37521.0,38624.0,39032.0,41279.0,45726.0,51567.0
78752,33173.0,33271.0,34716.0,37396.0,38841.0,38363.0
78753,40463.0,39593.0,38884.0,39228.0,40376.0,41489.0
78754,54087.0,53274.0,54896.0,53040.0,53962.0,56819.0
78756,59745.0,59685.0,59854.0,63750.0,64978.0,69583.0
78757,54205.0,55156.0,57429.0,60856.0,61497.0,62992.0
78758,42194.0,41792.0,43537.0,44476.0,43979.0,47244.0
78759,65851.0,65672.0,66828.0,70095.0,71647.0,74379.0
