GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; One race-- - White,Total; Margin of Error; One race-- - White,Median income (dollars); Estimate; One race-- - White,Median income (dollars); Margin of Error; One race-- - White,Total; Estimate; One race-- - Black or African American,Total; Margin of Error; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Median income (dollars); Margin of Error; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Total; Margin of Error; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Total; Margin of Error; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Median income (dollars); Margin of Error; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Total; Margin of Error; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Median income (dollars); Margin of Error; One race-- - Some other race,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Median income (dollars); Estimate; Two or more races,Median income (dollars); Margin of Error; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Married-couple families,Total; Margin of Error; FAMILIES - Married-couple families,Median income (dollars); Estimate; FAMILIES - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Married-couple families,"Total; Estimate; FAMILIES - Female householder, no husband present","Total; Margin of Error; FAMILIES - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Female householder, no husband present","Total; Estimate; FAMILIES - Male householder, no wife present","Total; Margin of Error; FAMILIES - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US73949,73949,ZCTA5 73949,605,77,42009,5156,79.7,6.6,42045,5196,0.0,5.2,-,**,0.0,5.2,-,**,0.5,1.5,-,**,0.0,5.2,-,**,19.8,6.3,43750,11326,0.0,5.2,-,**,29.6,7.1,40063,4360,69.9,7.3,45234,8018,4.0,3.9,32143,13412,26.4,7.2,46346,11062,47.1,8.2,46650,10358,22.5,5.9,26250,12575,446,73,46890,8351,47.3,9.4,53047,17639,52.7,9.4,46295,9017,84.3,8.0,57188,10097,12.8,7.5,23558,22568,2.9,3.2,14531,9235,159,44,28750,6746,44.7,15.9,11938,12362,44.7,15.9,11938,12362,0.0,18.4,-,**,55.3,15.9,31964,11776,47.8,17.5,30893,7120,7.5,9.3,68125,44330,30.7,(X),(X),(X),29.1,(X),(X),(X),35.2,(X),(X),(X)
8600000US75001,75001,ZCTA5 75001,6607,383,55874,3309,76.9,4.1,57492,4367,10.7,3.2,47750,21231,0.5,0.8,-,**,5.3,1.9,64591,6236,0.5,0.6,29286,48609,5.3,2.2,49600,20576,0.8,0.7,20469,92094,19.7,3.3,43715,6329,64.0,3.7,63482,9808,8.6,2.4,32309,13031,52.4,4.4,54705,5133,29.5,3.6,71362,18685,9.5,1.7,51301,5653,2478,198,59714,5331,47.8,6.7,48642,11024,52.2,6.7,77350,43104,67.3,7.3,73500,25094,23.4,6.3,46052,12638,9.3,4.7,47969,24600,4129,501,53613,3097,46.7,5.6,49613,6635,41.2,5.4,47245,7124,5.5,2.5,89318,18391,53.3,5.6,55583,7733,43.8,5.9,53589,4038,9.5,3.0,70888,18281,29.3,(X),(X),(X),29.9,(X),(X),(X),28.1,(X),(X),(X)
8600000US75002,75002,ZCTA5 75002,20393,450,91638,3637,79.6,2.2,92444,3974,9.5,1.7,76635,23557,0.2,0.2,43409,15209,7.2,1.1,103117,11218,0.0,0.2,-,**,1.8,0.7,83317,28439,1.8,0.8,87269,29214,8.6,1.3,68953,15307,73.0,2.2,95453,5858,1.0,0.6,34875,27963,47.4,1.9,93374,5998,41.9,1.8,102508,5768,9.7,1.2,48306,7910,16874,414,99867,4513,61.0,2.6,99736,5592,39.0,2.6,100041,9163,80.6,3.1,109552,3748,13.2,2.5,43413,4599,6.3,1.6,71000,23987,3519,398,52493,4831,55.7,5.9,47395,5855,47.3,6.3,42644,9741,8.4,3.8,92125,78394,44.3,5.9,66563,18118,32.0,5.5,62125,14754,12.3,4.5,90643,13080,16.2,(X),(X),(X),16.4,(X),(X),(X),15.1,(X),(X),(X)
8600000US75006,75006,ZCTA5 75006,16534,445,57274,2549,80.4,1.8,58630,2586,8.5,1.7,48375,15067,0.6,0.3,65536,32844,6.1,1.0,53818,9193,0.0,0.2,-,**,3.9,1.0,40739,10749,0.7,0.3,80795,51265,32.0,1.9,41904,4107,52.9,2.1,69601,4434,5.0,1.2,32132,13159,42.0,2.1,52030,2624,39.5,2.0,70502,6694,13.5,1.2,50503,6953,11406,375,60963,3826,52.2,2.3,48501,2901,47.8,2.3,77491,6760,71.0,2.8,69362,4830,20.0,2.6,34127,6229,9.0,2.0,51212,8069,5128,403,49510,5481,49.0,4.3,42857,4014,42.1,4.5,37204,6150,6.9,2.0,69940,14805,51.0,4.3,55068,4257,39.8,3.9,51630,7265,11.2,3.2,85745,15776,44.2,(X),(X),(X),47.9,(X),(X),(X),33.5,(X),(X),(X)
8600000US75007,75007,ZCTA5 75007,18284,471,78660,3920,74.1,2.1,85330,2958,9.3,1.8,54572,9836,0.7,0.4,102734,73301,11.2,1.3,60134,6191,0.0,0.2,-,**,2.2,0.6,79331,9560,2.4,0.9,62045,29588,16.6,1.7,64848,6213,60.8,2.1,90197,5821,2.3,0.7,29464,12789,38.3,1.9,76791,4671,47.9,1.7,91881,9334,11.4,1.0,41069,5913,14035,491,87081,4136,49.7,2.1,83614,5369,50.3,2.1,91500,6876,80.8,2.5,99147,5966,14.5,2.3,46183,4860,4.7,1.2,76908,6687,4249,436,46309,6948,56.8,5.5,41415,7190,44.4,5.0,33412,6608,12.4,4.4,69107,43643,43.2,5.5,50532,6525,32.1,5.1,41658,7466,11.1,3.9,82125,18966,22.4,(X),(X),(X),22.8,(X),(X),(X),20.9,(X),(X),(X)
8600000US75009,75009,ZCTA5 75009,2744,209,76840,13237,90.2,4.2,80365,13549,1.8,1.8,22404,11892,1.7,1.8,144038,47470,0.0,1.4,-,**,0.0,1.4,-,**,4.3,2.8,19023,13349,1.9,1.9,104405,203692,15.1,4.2,38840,4678,80.6,4.9,86653,19506,1.7,1.5,12308,49964,43.1,5.8,86250,27044,39.8,5.8,82619,26430,15.3,3.9,44286,15821,2195,168,95819,15689,51.2,6.1,86731,23000,48.8,6.1,98603,16167,85.1,6.1,104234,10267,9.4,5.4,31055,5974,5.5,3.5,68214,28599,549,166,39926,6869,35.2,13.0,27083,21073,22.8,10.7,21563,11917,12.4,8.6,39853,6123,64.8,13.0,42973,9045,54.5,13.4,43615,10870,10.4,7.8,41313,108421,27.6,(X),(X),(X),25.3,(X),(X),(X),21.1,(X),(X),(X)
8600000US75010,75010,ZCTA5 75010,8157,335,74415,3803,65.2,4.8,78333,9405,11.0,3.1,71932,10543,0.7,0.6,94792,39179,18.5,2.7,73000,17427,0.3,0.4,-,**,2.4,1.8,31481,6776,2.0,2.0,51531,30790,10.7,3.0,51176,19582,56.8,4.4,80984,8742,3.1,1.7,51902,16536,50.8,3.9,73043,5228,37.7,3.9,85694,13205,8.4,1.7,71429,34014,6246,381,81872,6521,55.2,5.0,81080,14191,44.8,5.0,82558,7214,76.1,5.5,91235,8999,17.1,4.3,50353,11511,6.8,3.6,75076,13468,1911,314,57250,10386,49.9,11.2,50780,5815,39.4,10.4,47125,4254,10.5,8.2,103048,53265,50.1,11.2,67951,8269,31.7,9.3,53814,12267,18.5,9.9,69338,5625,25.2,(X),(X),(X),25.4,(X),(X),(X),22.7,(X),(X),(X)
8600000US75013,75013,ZCTA5 75013,9317,323,123426,5017,74.0,2.9,123150,5410,4.9,1.9,69545,47241,1.0,0.8,87981,30070,16.7,2.7,141534,16370,0.1,0.2,-,**,1.4,1.0,66176,1137,1.9,1.3,118107,51262,4.6,1.6,140735,34192,70.9,3.0,121871,5459,2.5,1.2,37471,2602,50.4,3.2,126513,8939,39.6,3.0,132788,13938,7.5,1.5,41875,10385,7648,299,134503,9559,64.7,3.0,141900,11912,35.3,3.0,122017,8990,86.5,3.4,143836,10505,9.7,3.3,75097,14700,3.8,1.6,74412,89740,1669,274,54219,11442,63.6,7.9,56250,15716,51.6,9.1,48786,8535,12.0,5.5,123125,94443,36.4,7.9,53922,15949,31.2,8.3,54881,18725,5.2,3.5,29757,135114,19.2,(X),(X),(X),18.1,(X),(X),(X),22.2,(X),(X),(X)
8600000US75019,75019,ZCTA5 75019,13641,332,106981,5313,76.6,2.0,112749,5708,6.4,1.4,73355,35182,0.1,0.1,107321,346081,13.9,1.5,107500,22359,0.0,0.3,-,**,1.7,0.8,51591,17404,1.2,0.6,113750,21291,8.8,1.4,73750,13885,69.6,1.9,115114,4819,2.2,0.9,36635,30320,39.7,2.3,103398,4084,50.0,2.3,124690,5838,8.1,1.0,50341,18943,10772,257,123387,3539,60.5,2.5,122760,5777,39.5,2.5,123884,4031,84.1,2.5,133785,6025,12.3,2.0,57067,13114,3.7,1.3,75750,39745,2869,335,53240,5158,59.1,6.5,51850,3388,53.7,5.9,51125,3888,5.4,2.9,91346,34746,40.9,6.5,59183,11125,34.4,6.8,51100,13423,6.4,3.1,138125,104416,30.2,(X),(X),(X),29.9,(X),(X),(X),30.5,(X),(X),(X)
