GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
8600000US73430,73430,ZCTA5 73430,81300,12739
8600000US73931,73931,ZCTA5 73931,114500,25911
8600000US73949,73949,ZCTA5 73949,70300,10852
8600000US75001,75001,ZCTA5 75001,258200,13543
8600000US75002,75002,ZCTA5 75002,186100,3521
8600000US75006,75006,ZCTA5 75006,146800,4809
8600000US75007,75007,ZCTA5 75007,169400,2713
8600000US75009,75009,ZCTA5 75009,190500,22044
8600000US75010,75010,ZCTA5 75010,200800,9477
8600000US75013,75013,ZCTA5 75013,292300,9386
8600000US75019,75019,ZCTA5 75019,281500,8916
8600000US75020,75020,ZCTA5 75020,87900,3474
8600000US75021,75021,ZCTA5 75021,87800,13036
8600000US75022,75022,ZCTA5 75022,333700,10156
8600000US75023,75023,ZCTA5 75023,173900,3842
8600000US75024,75024,ZCTA5 75024,289300,6239
8600000US75025,75025,ZCTA5 75025,253700,5030
8600000US75028,75028,ZCTA5 75028,234700,4496
8600000US75032,75032,ZCTA5 75032,211300,12752
8600000US75034,75034,ZCTA5 75034,285900,7221
8600000US75035,75035,ZCTA5 75035,212800,5218
8600000US75038,75038,ZCTA5 75038,171100,8393
8600000US75039,75039,ZCTA5 75039,389600,41452
8600000US75040,75040,ZCTA5 75040,113000,2064
8600000US75041,75041,ZCTA5 75041,97300,2500
8600000US75042,75042,ZCTA5 75042,99200,1704
8600000US75043,75043,ZCTA5 75043,120900,2598
8600000US75044,75044,ZCTA5 75044,136000,3694
8600000US75048,75048,ZCTA5 75048,181500,8537
8600000US75050,75050,ZCTA5 75050,104400,5900
8600000US75051,75051,ZCTA5 75051,95400,3288
8600000US75052,75052,ZCTA5 75052,134300,3089
8600000US75054,75054,ZCTA5 75054,224600,20082
8600000US75056,75056,ZCTA5 75056,167500,6442
8600000US75057,75057,ZCTA5 75057,98000,9003
8600000US75058,75058,ZCTA5 75058,200000,55530
8600000US75060,75060,ZCTA5 75060,110000,2953
8600000US75061,75061,ZCTA5 75061,114900,3758
8600000US75062,75062,ZCTA5 75062,121600,4061
8600000US75063,75063,ZCTA5 75063,278200,11492
8600000US75065,75065,ZCTA5 75065,157500,7380
8600000US75067,75067,ZCTA5 75067,149100,3726
8600000US75068,75068,ZCTA5 75068,161000,3495
8600000US75069,75069,ZCTA5 75069,176400,12283
8600000US75070,75070,ZCTA5 75070,197100,2523
8600000US75071,75071,ZCTA5 75071,174700,6008
8600000US75074,75074,ZCTA5 75074,145400,3896
8600000US75075,75075,ZCTA5 75075,180800,3015
8600000US75076,75076,ZCTA5 75076,120300,17812
8600000US75077,75077,ZCTA5 75077,211100,7470
8600000US75078,75078,ZCTA5 75078,341600,15710
8600000US75080,75080,ZCTA5 75080,183400,4747
8600000US75081,75081,ZCTA5 75081,162300,2931
8600000US75082,75082,ZCTA5 75082,254900,7999
8600000US75087,75087,ZCTA5 75087,207500,6447
8600000US75088,75088,ZCTA5 75088,154400,6575
8600000US75089,75089,ZCTA5 75089,161000,5342
8600000US75090,75090,ZCTA5 75090,76400,6522
8600000US75092,75092,ZCTA5 75092,121400,5848
8600000US75093,75093,ZCTA5 75093,350000,9185
8600000US75094,75094,ZCTA5 75094,263300,12031
8600000US75098,75098,ZCTA5 75098,158100,3805
8600000US75101,75101,ZCTA5 75101,75000,4410
8600000US75102,75102,ZCTA5 75102,92000,19350
8600000US75103,75103,ZCTA5 75103,124300,12759
8600000US75104,75104,ZCTA5 75104,132800,4284
8600000US75105,75105,ZCTA5 75105,64000,22684
8600000US75109,75109,ZCTA5 75109,93200,26261
8600000US75110,75110,ZCTA5 75110,82100,5421
8600000US75114,75114,ZCTA5 75114,120100,5390
8600000US75115,75115,ZCTA5 75115,142300,4608
8600000US75116,75116,ZCTA5 75116,103000,4464
8600000US75117,75117,ZCTA5 75117,103500,17807
8600000US75119,75119,ZCTA5 75119,110200,5425
8600000US75124,75124,ZCTA5 75124,92400,11057
8600000US75125,75125,ZCTA5 75125,78600,7271
8600000US75126,75126,ZCTA5 75126,157300,3487
8600000US75127,75127,ZCTA5 75127,86100,4135
8600000US75132,75132,ZCTA5 75132,134900,4050
8600000US75134,75134,ZCTA5 75134,101500,4615
8600000US75135,75135,ZCTA5 75135,112600,9503
8600000US75137,75137,ZCTA5 75137,126000,5605
8600000US75140,75140,ZCTA5 75140,87700,10091
8600000US75141,75141,ZCTA5 75141,68000,8203
8600000US75142,75142,ZCTA5 75142,110700,7980
8600000US75143,75143,ZCTA5 75143,76900,5336
8600000US75144,75144,ZCTA5 75144,58300,10752
8600000US75146,75146,ZCTA5 75146,103400,6318
8600000US75147,75147,ZCTA5 75147,89100,14207
8600000US75148,75148,ZCTA5 75148,74300,8234
8600000US75149,75149,ZCTA5 75149,97400,2527
8600000US75150,75150,ZCTA5 75150,105800,2104
8600000US75152,75152,ZCTA5 75152,135500,16778
8600000US75153,75153,ZCTA5 75153,67400,60026
8600000US75154,75154,ZCTA5 75154,139600,4583
8600000US75155,75155,ZCTA5 75155,64500,10294
8600000US75156,75156,ZCTA5 75156,88100,12920
8600000US75157,75157,ZCTA5 75157,55900,6740
8600000US75158,75158,ZCTA5 75158,111800,15210
8600000US75159,75159,ZCTA5 75159,90000,6103
8600000US75160,75160,ZCTA5 75160,100800,8828
8600000US75161,75161,ZCTA5 75161,98300,9660
8600000US75163,75163,ZCTA5 75163,153800,67841
8600000US75164,75164,ZCTA5 75164,105700,30582
8600000US75165,75165,ZCTA5 75165,137500,3505
8600000US75166,75166,ZCTA5 75166,173700,10593
8600000US75167,75167,ZCTA5 75167,176300,15700
8600000US75169,75169,ZCTA5 75169,85900,5797
8600000US75172,75172,ZCTA5 75172,54000,15741
8600000US75173,75173,ZCTA5 75173,157000,9850
8600000US75180,75180,ZCTA5 75180,83800,4232
8600000US75181,75181,ZCTA5 75181,144400,3761
8600000US75182,75182,ZCTA5 75182,290300,24771
8600000US75189,75189,ZCTA5 75189,144800,5471
8600000US75201,75201,ZCTA5 75201,520000,147245
8600000US75202,75202,ZCTA5 75202,211100,30663
8600000US75203,75203,ZCTA5 75203,65600,9074
8600000US75204,75204,ZCTA5 75204,254400,20579
8600000US75205,75205,ZCTA5 75205,937100,33273
8600000US75206,75206,ZCTA5 75206,268000,17011
8600000US75207,75207,ZCTA5 75207,-,**
8600000US75208,75208,ZCTA5 75208,120900,7386
8600000US75209,75209,ZCTA5 75209,434400,49658
8600000US75210,75210,ZCTA5 75210,54900,11182
8600000US75211,75211,ZCTA5 75211,87800,1687
8600000US75212,75212,ZCTA5 75212,73700,7161
8600000US75214,75214,ZCTA5 75214,336900,12277
8600000US75215,75215,ZCTA5 75215,56300,7345
8600000US75216,75216,ZCTA5 75216,59700,2345
8600000US75217,75217,ZCTA5 75217,73200,2197
8600000US75218,75218,ZCTA5 75218,220500,9517
8600000US75219,75219,ZCTA5 75219,247400,19129
8600000US75220,75220,ZCTA5 75220,161100,7955
8600000US75223,75223,ZCTA5 75223,95200,7446
8600000US75224,75224,ZCTA5 75224,86900,2321
8600000US75225,75225,ZCTA5 75225,824100,52253
8600000US75226,75226,ZCTA5 75226,59300,293335
8600000US75227,75227,ZCTA5 75227,86200,2039
8600000US75228,75228,ZCTA5 75228,105300,3362
8600000US75229,75229,ZCTA5 75229,272400,16208
8600000US75230,75230,ZCTA5 75230,461900,18276
8600000US75231,75231,ZCTA5 75231,253900,13990
8600000US75232,75232,ZCTA5 75232,91200,3161
8600000US75233,75233,ZCTA5 75233,115400,4850
8600000US75234,75234,ZCTA5 75234,137600,4163
8600000US75235,75235,ZCTA5 75235,106900,10003
8600000US75236,75236,ZCTA5 75236,97500,4793
8600000US75237,75237,ZCTA5 75237,104500,7494
8600000US75238,75238,ZCTA5 75238,242300,6667
8600000US75240,75240,ZCTA5 75240,173900,29705
8600000US75241,75241,ZCTA5 75241,78300,2644
8600000US75243,75243,ZCTA5 75243,178400,13953
8600000US75244,75244,ZCTA5 75244,282800,12489
8600000US75246,75246,ZCTA5 75246,122800,54993
8600000US75247,75247,ZCTA5 75247,-,**
8600000US75248,75248,ZCTA5 75248,260300,6324
8600000US75249,75249,ZCTA5 75249,117700,6205
8600000US75251,75251,ZCTA5 75251,-,**
8600000US75252,75252,ZCTA5 75252,280300,9748
8600000US75253,75253,ZCTA5 75253,48200,6863
8600000US75254,75254,ZCTA5 75254,294800,55584
8600000US75270,75270,ZCTA5 75270,-,**
8600000US75287,75287,ZCTA5 75287,246400,13113
8600000US75390,75390,ZCTA5 75390,-,**
8600000US75401,75401,ZCTA5 75401,58200,4767
8600000US75402,75402,ZCTA5 75402,118200,7258
8600000US75407,75407,ZCTA5 75407,108500,10538
8600000US75409,75409,ZCTA5 75409,131000,10749
8600000US75410,75410,ZCTA5 75410,81700,12634
8600000US75411,75411,ZCTA5 75411,94600,26385
8600000US75412,75412,ZCTA5 75412,68800,21994
8600000US75413,75413,ZCTA5 75413,40000,28241
8600000US75414,75414,ZCTA5 75414,119500,16665
