GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US48021950100,48021950100,"Census Tract 9501, Bastrop County, Texas",3135,233,2348,231,1820,254,528,165,181,96,347,128,787,180,682,170,105,68
1400000US48021950200,48021950200,"Census Tract 9502, Bastrop County, Texas",2578,241,1884,201,1421,227,463,182,52,52,411,174,694,184,594,176,100,75
1400000US48021950300,48021950300,"Census Tract 9503, Bastrop County, Texas",4564,292,3550,306,3047,305,503,216,177,120,326,175,1014,264,581,186,433,188
1400000US48021950400,48021950400,"Census Tract 9504, Bastrop County, Texas",3325,285,1907,250,1482,233,425,160,63,71,362,139,1418,253,1281,250,137,87
1400000US48021950501,48021950501,"Census Tract 9505.01, Bastrop County, Texas",2088,216,1536,184,994,239,542,183,261,138,281,150,552,150,413,160,139,101
1400000US48021950502,48021950502,"Census Tract 9505.02, Bastrop County, Texas",2083,300,1595,259,1303,250,292,141,139,116,153,87,488,165,419,151,69,67
1400000US48021950600,48021950600,"Census Tract 9506, Bastrop County, Texas",2102,198,1433,202,1011,207,422,158,256,137,166,113,669,173,598,164,71,65
1400000US48021950700,48021950700,"Census Tract 9507, Bastrop County, Texas",1700,193,1010,134,611,106,399,126,39,38,360,124,690,172,657,173,33,25
1400000US48021950801,48021950801,"Census Tract 9508.01, Bastrop County, Texas",1873,220,1563,225,1245,210,318,142,109,99,209,125,310,111,207,104,103,70
1400000US48021950802,48021950802,"Census Tract 9508.02, Bastrop County, Texas",2006,186,1529,224,1263,205,266,127,88,66,178,104,477,152,370,134,107,73
1400000US48055960101,48055960101,"Census Tract 9601.01, Caldwell County, Texas",2025,162,1555,174,1148,182,407,104,172,76,235,83,470,120,335,111,135,85
1400000US48055960102,48055960102,"Census Tract 9601.02, Caldwell County, Texas",1220,134,976,138,722,142,254,95,37,49,217,96,244,99,174,92,70,56
1400000US48055960200,48055960200,"Census Tract 9602, Caldwell County, Texas",1377,112,939,146,604,102,335,111,91,64,244,90,438,132,378,122,60,48
1400000US48055960300,48055960300,"Census Tract 9603, Caldwell County, Texas",1535,135,1097,125,911,142,186,82,83,64,103,54,438,93,360,88,78,62
1400000US48055960400,48055960400,"Census Tract 9604, Caldwell County, Texas",1243,154,827,112,565,115,262,79,78,57,184,63,416,119,381,115,35,26
1400000US48055960500,48055960500,"Census Tract 9605, Caldwell County, Texas",2024,156,1359,143,911,165,448,113,116,61,332,103,665,143,429,117,236,102
1400000US48055960600,48055960600,"Census Tract 9606, Caldwell County, Texas",786,102,621,94,475,76,146,51,41,33,105,46,165,50,139,49,26,18
