GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC01_EST_VC17,HC01_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC01_EST_VC20,HC01_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC01_EST_VC28,HC01_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC01_EST_VC37,HC01_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC01_EST_VC41,HC01_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC01_EST_VC45,HC01_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC01_EST_VC49,HC01_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC01_EST_VC53,HC01_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC01_EST_VC57,HC01_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC01_EST_VC61,HC01_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC01_EST_VC63,HC01_MOE_VC63,HC01_EST_VC65,HC01_MOE_VC65,HC01_EST_VC66,HC01_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC01_EST_VC69,HC01_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC01_EST_VC71,HC01_MOE_VC71,HC01_EST_VC74,HC01_MOE_VC74,HC01_EST_VC75,HC01_MOE_VC75,HC01_EST_VC76,HC01_MOE_VC76,HC01_EST_VC77,HC01_MOE_VC77,HC01_EST_VC80,HC01_MOE_VC80,HC01_EST_VC81,HC01_MOE_VC81,HC01_EST_VC82,HC01_MOE_VC82,HC01_EST_VC83,HC01_MOE_VC83,HC01_EST_VC84,HC01_MOE_VC84,HC01_EST_VC85,HC01_MOE_VC85
Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Total; Margin of Error; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Less than high school graduate,Total; Margin of Error; Population 18 to 24 years - Less than high school graduate,Total; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),Total; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency),Total; Estimate; Population 18 to 24 years - Some college or associate's degree,Total; Margin of Error; Population 18 to 24 years - Some college or associate's degree,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Total; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Margin of Error; Population 25 years and over,Total; Estimate; Population 25 years and over - Less than 9th grade,Total; Margin of Error; Population 25 years and over - Less than 9th grade,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Total; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma",Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),Total; Margin of Error; Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population 25 years and over - Some college, no degree","Total; Margin of Error; Population 25 years and over - Some college, no degree",Total; Estimate; Population 25 years and over - Associate's degree,Total; Margin of Error; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Total; Margin of Error; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree,Total; Margin of Error; Population 25 years and over - Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Margin of Error; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Margin of Error; Percent bachelor's degree or higher,Total; Estimate; Population 25 to 34 years,Total; Margin of Error; Population 25 to 34 years,Total; Estimate; Population 25 to 34 years - High school graduate or higher,Total; Margin of Error; Population 25 to 34 years - High school graduate or higher,Total; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Total; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher,Total; Estimate; Population 35 to 44 years,Total; Margin of Error; Population 35 to 44 years,Total; Estimate; Population 35 to 44 years - High school graduate or higher,Total; Margin of Error; Population 35 to 44 years - High school graduate or higher,Total; Estimate; Population 35 to 44 years - Bachelor's degree or higher,Total; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher,Total; Estimate; Population 45 to 64 years,Total; Margin of Error; Population 45 to 64 years,Total; Estimate; Population 45 to 64 years - High school graduate or higher,Total; Margin of Error; Population 45 to 64 years - High school graduate or higher,Total; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Total; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher,Total; Estimate; Population 65 years and over,Total; Margin of Error; Population 65 years and over,Total; Estimate; Population 65 years and over - High school graduate or higher,Total; Margin of Error; Population 65 years and over - High school graduate or higher,Total; Estimate; Population 65 years and over - Bachelor's degree or higher,Total; Margin of Error; Population 65 years and over - Bachelor's degree or higher,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Total; Estimate; White alone, not Hispanic or Latino - High school graduate or higher","Total; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher","Total; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher","Total; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher",Total; Estimate; Black alone,Total; Margin of Error; Black alone,Total; Estimate; Black alone - High school graduate or higher,Total; Margin of Error; Black alone - High school graduate or higher,Total; Estimate; Black alone - Bachelor's degree or higher,Total; Margin of Error; Black alone - Bachelor's degree or higher,Total; Estimate; American Indian or Alaska Native alone,Total; Margin of Error; American Indian or Alaska Native alone,Total; Estimate; American Indian or Alaska Native alone - High school graduate or higher,Total; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher,Total; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher,Total; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher,Total; Estimate; Asian alone,Total; Margin of Error; Asian alone,Total; Estimate; Asian alone - High school graduate or higher,Total; Margin of Error; Asian alone - High school graduate or higher,Total; Estimate; Asian alone - Bachelor's degree or higher,Total; Margin of Error; Asian alone - Bachelor's degree or higher,Total; Estimate; Native Hawaiian and Other Pacific Islander alone,Total; Margin of Error; Native Hawaiian and Other Pacific Islander alone,Total; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Total; Margin of Error; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Total; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,Total; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,Total; Estimate; Some other race alone,Total; Margin of Error; Some other race alone,Total; Estimate; Some other race alone - High school graduate or higher,Total; Margin of Error; Some other race alone - High school graduate or higher,Total; Estimate; Some other race alone - Bachelor's degree or higher,Total; Margin of Error; Some other race alone - Bachelor's degree or higher,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Total; Estimate; Two or more races - High school graduate or higher,Total; Margin of Error; Two or more races - High school graduate or higher,Total; Estimate; Two or more races - Bachelor's degree or higher,Total; Margin of Error; Two or more races - Bachelor's degree or higher,Total; Estimate; Hispanic or Latino Origin,Total; Margin of Error; Hispanic or Latino Origin,Total; Estimate; Hispanic or Latino Origin - High school graduate or higher,Total; Margin of Error; Hispanic or Latino Origin - High school graduate or higher,Total; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Total; Margin of Error; Hispanic or Latino Origin - Bachelor's degree or higher,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree
8600000US73430,73430,ZCTA5 73430,54,38,19,19,28,27,7,10,0,9,919,146,30,42,104,60,336,84,248,58,33,21,110,44,58,31,(X),(X),(X),(X),140,50,107,41,34,23,138,48,116,42,28,20,334,103,280,65,43,25,307,60,282,60,63,32,878,145,744,102,155,53,878,145,744,102,155,53,0,9,0,9,0,9,31,18,31,18,3,6,10,17,10,17,10,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
8600000US73931,73931,ZCTA5 73931,19,13,0,9,3,4,16,14,0,9,385,66,12,12,33,20,141,35,66,26,30,18,80,25,23,17,(X),(X),(X),(X),59,21,49,21,13,12,130,46,115,43,46,28,115,30,105,28,36,18,81,28,71,26,8,7,373,66,335,64,103,32,360,64,332,63,100,31,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,12,14,5,7,0,9,0,9,0,9,0,9,25,19,8,9,3,5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
8600000US73949,73949,ZCTA5 73949,115,62,32,26,29,27,53,39,1,3,1018,142,115,48,101,45,308,89,218,62,52,33,179,47,45,26,(X),(X),(X),(X),172,62,153,59,54,34,213,76,131,63,38,24,429,99,352,90,79,26,204,54,166,49,53,22,798,124,711,120,217,62,733,127,677,123,212,62,0,11,0,11,0,11,0,11,0,11,0,11,2,3,2,3,2,3,0,11,0,11,0,11,214,81,85,51,3,6,4,5,4,5,2,3,281,89,121,58,8,10,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
8600000US75001,75001,ZCTA5 75001,1398,275,134,105,183,100,516,154,565,158,10923,472,276,138,359,150,1575,317,2328,316,574,177,3773,410,2038,288,(X),(X),(X),(X),4420,484,4247,480,2651,407,2178,309,1999,298,1030,250,3148,379,2919,321,1661,271,1177,177,1123,160,469,106,7384,497,7027,482,4215,372,6292,463,6275,457,3927,361,1113,255,1057,237,469,145,68,69,68,69,18,22,1187,319,1156,310,728,221,0,20,0,20,0,20,763,224,624,218,156,93,408,150,356,141,225,128,2034,344,1516,314,523,185,(X),(X),(X),(X),(X),(X),(X),(X),47712,3420,26819,3287,32050,6708,40114,6174,55341,6606,78558,3333
8600000US75002,75002,ZCTA5 75002,5278,557,663,249,1618,428,2687,466,310,142,42374,978,1172,392,1281,427,6357,740,11053,775,3168,465,13224,941,6119,773,(X),(X),(X),(X),7686,891,7291,839,3170,492,11727,867,11198,846,6500,725,18069,783,17244,808,8233,735,4892,503,4188,471,1440,275,33241,1045,31566,1081,14931,1073,29411,1103,28748,1108,13741,1089,3754,570,3754,570,1552,378,197,125,197,125,67,81,3930,628,3438,553,2524,546,24,46,24,46,0,30,610,272,401,158,43,44,618,205,541,184,226,125,4622,573,3362,487,1264,287,(X),(X),(X),(X),(X),(X),(X),(X),50901,1566,17846,3463,31771,3782,42329,2952,64053,4947,90499,10587
8600000US75006,75006,ZCTA5 75006,4629,506,989,210,1414,319,1923,368,303,120,32360,733,4660,432,2926,339,6979,561,6627,498,1998,262,6291,444,2879,305,(X),(X),(X),(X),8015,524,6109,489,2402,327,6277,416,4237,410,1516,257,12900,581,10217,558,3819,350,5168,365,4211,338,1433,176,24881,854,19333,772,6858,443,14337,548,13821,530,5855,403,2304,403,2077,349,790,187,114,69,72,44,6,9,2554,421,2055,358,1206,244,0,27,0,27,0,27,2121,393,889,232,188,89,386,134,348,118,122,65,12935,676,6603,588,1258,226,(X),(X),(X),(X),(X),(X),(X),(X),32359,1565,21432,850,28763,3263,34511,2511,51516,5056,61806,10621
8600000US75007,75007,ZCTA5 75007,4514,444,730,178,1097,258,2278,327,409,127,36037,804,2029,395,1932,296,7457,529,7646,530,2725,305,10259,599,3989,364,(X),(X),(X),(X),6812,663,6172,629,2516,374,7798,598,6761,561,3076,381,16065,649,14590,588,6864,428,5362,358,4553,333,1792,237,26006,860,23608,882,10476,622,19785,690,19189,693,9257,597,2718,366,2590,360,1071,223,139,75,83,45,24,28,5667,622,4696,545,2207,441,2,5,2,5,0,30,799,226,501,144,185,105,706,215,596,178,285,102,7373,683,5147,686,1511,307,(X),(X),(X),(X),(X),(X),(X),(X),44389,2108,24135,3736,30570,1474,40936,1166,61716,3214,68836,8754
8600000US75009,75009,ZCTA5 75009,856,293,112,80,220,155,384,204,140,127,5916,532,170,125,104,64,1681,385,1279,320,542,230,1592,288,548,205,(X),(X),(X),(X),1147,374,1094,356,287,147,1315,332,1289,337,581,216,2411,366,2354,348,1049,245,1043,195,905,198,223,97,5386,516,5199,525,1996,377,5036,471,4866,482,1957,374,108,80,92,70,29,51,24,34,24,34,24,34,67,63,67,63,32,35,0,18,0,18,0,18,279,162,208,128,42,68,52,50,52,50,17,28,662,222,574,223,81,82,(X),(X),(X),(X),(X),(X),(X),(X),44771,5794,19033,8396,31196,8979,45819,12371,57440,8628,89535,25930
8600000US75010,75010,ZCTA5 75010,2174,393,120,81,384,173,1303,359,367,144,16933,701,310,220,643,236,2952,427,3627,643,1472,419,5813,612,2116,330,(X),(X),(X),(X),4690,771,4564,772,2718,513,3825,556,3662,525,2179,353,6664,742,6179,780,2543,373,1754,347,1575,346,489,146,9248,801,8796,792,4243,546,7970,793,7922,795,3931,539,2348,544,2260,541,1090,310,83,64,83,64,27,41,4360,589,3971,575,2344,458,0,24,0,24,0,24,524,431,519,431,50,50,370,245,351,241,175,119,1879,454,1470,454,419,175,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
