GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races
1400000US48021950100,48021950100,"Census Tract 9501, Bastrop County, Texas",7286,6280,345,41,28,5,447,140
1400000US48021950200,48021950200,"Census Tract 9502, Bastrop County, Texas",6196,4188,974,55,35,3,757,184
1400000US48021950300,48021950300,"Census Tract 9503, Bastrop County, Texas",7438,6032,822,36,40,5,338,165
1400000US48021950400,48021950400,"Census Tract 9504, Bastrop County, Texas",7335,5619,993,56,88,3,427,149
1400000US48021950500,48021950500,"Census Tract 9505, Bastrop County, Texas",11194,9286,672,91,34,6,855,250
1400000US48021950600,48021950600,"Census Tract 9506, Bastrop County, Texas",4459,3965,220,19,5,7,166,77
1400000US48021950700,48021950700,"Census Tract 9507, Bastrop County, Texas",4197,3283,587,13,18,0,227,69
1400000US48021950800,48021950800,"Census Tract 9508, Bastrop County, Texas",9628,7674,459,93,20,4,1168,210
1400000US48055960100,48055960100,"Census Tract 9601, Caldwell County, Texas",7303,5601,347,70,20,3,1099,163
1400000US48055960200,48055960200,"Census Tract 9602, Caldwell County, Texas",4598,2740,995,25,6,0,718,114
1400000US48055960300,48055960300,"Census Tract 9603, Caldwell County, Texas",3646,3004,151,26,33,2,343,87
1400000US48055960400,48055960400,"Census Tract 9604, Caldwell County, Texas",3689,2115,336,27,5,5,1062,139
1400000US48055960500,48055960500,"Census Tract 9605, Caldwell County, Texas",5434,3762,248,21,13,1,1170,219
1400000US48055960600,48055960600,"Census Tract 9606, Caldwell County, Texas",1936,1689,116,8,4,0,88,31
1400000US48055960700,48055960700,"Census Tract 9607, Caldwell County, Texas",5588,3666,542,19,27,0,1205,129
1400000US48209010100,48209010100,"Census Tract 101, Hays County, Texas",1908,1541,130,15,16,0,139,67
1400000US48209010200,48209010200,"Census Tract 102, Hays County, Texas",5656,4451,412,30,119,6,492,146
1400000US48209010301,48209010301,"Census Tract 103.01, Hays County, Texas",10176,6422,1014,76,167,13,2114,370
1400000US48209010302,48209010302,"Census Tract 103.02, Hays County, Texas",4326,2673,324,32,23,3,1135,136
1400000US48209010400,48209010400,"Census Tract 104, Hays County, Texas",4343,2903,167,34,20,7,1106,106
1400000US48209010500,48209010500,"Census Tract 105, Hays County, Texas",2783,1463,146,22,1,1,1062,88
1400000US48209010600,48209010600,"Census Tract 106, Hays County, Texas",7904,6842,158,38,60,10,620,176
1400000US48209010700,48209010700,"Census Tract 107, Hays County, Texas",8113,7006,222,52,106,7,541,179
1400000US48209010801,48209010801,"Census Tract 108.01, Hays County, Texas",12908,12150,58,60,80,5,389,166
1400000US48209010802,48209010802,"Census Tract 108.02, Hays County, Texas",10153,9566,27,60,25,5,276,194
1400000US48209010901,48209010901,"Census Tract 109.01, Hays County, Texas",6609,6176,47,11,63,2,233,77
1400000US48209010902,48209010902,"Census Tract 109.02, Hays County, Texas",5512,4562,121,46,36,5,612,130
1400000US48209010903,48209010903,"Census Tract 109.03, Hays County, Texas",8643,5362,252,134,31,3,2567,294
1400000US48209010904,48209010904,"Census Tract 109.04, Hays County, Texas",8555,5897,510,68,25,2,1752,301
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",3655,3485,21,11,34,0,57,47
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",2585,2467,17,14,19,0,26,42
1400000US48453000201,48453000201,"Census Tract 2.01, Travis County, Texas",6270,5106,218,53,169,2,525,197
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",744,575,79,1,57,2,19,11
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",2872,2549,47,11,106,3,93,63
1400000US48453000301,48453000301,"Census Tract 3.01, Travis County, Texas",6364,5098,156,35,278,7,589,201
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",5100,4109,73,22,566,3,179,148
1400000US48453000303,48453000303,"Census Tract 3.03, Travis County, Texas",2952,1757,405,11,21,0,686,72
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",3603,2732,176,20,467,3,102,103
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",2941,1312,1082,20,78,2,355,92
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",4887,3939,71,20,543,8,168,138
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",7189,4659,446,32,1394,1,382,275
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",5273,4222,70,10,617,2,203,149
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",5199,3895,83,15,842,2,209,153
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",1469,1179,82,5,102,2,59,40
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",1755,538,158,16,4,5,983,51
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",3356,446,1832,26,20,0,922,110
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",2247,500,1141,15,2,1,541,47
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",2534,559,1098,28,3,0,784,62
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",1807,410,572,15,10,1,763,36
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",5306,1867,422,70,23,2,2765,157
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",4576,2106,72,47,14,1,2224,112
1400000US48453001100,48453001100,"Census Tract 11, Travis County, Texas",2386,1596,382,20,38,0,179,171
1400000US48453001200,48453001200,"Census Tract 12, Travis County, Texas",3036,2416,111,11,311,3,125,59
1400000US48453001303,48453001303,"Census Tract 13.03, Travis County, Texas",3022,2509,63,16,25,0,312,97
1400000US48453001304,48453001304,"Census Tract 13.04, Travis County, Texas",3415,2926,103,31,32,3,240,80
1400000US48453001305,48453001305,"Census Tract 13.05, Travis County, Texas",5659,3370,537,64,48,4,1336,300
1400000US48453001307,48453001307,"Census Tract 13.07, Travis County, Texas",3901,2331,239,42,33,1,1092,163
1400000US48453001308,48453001308,"Census Tract 13.08, Travis County, Texas",3466,1775,95,73,26,1,1353,143
1400000US48453001401,48453001401,"Census Tract 14.01, Travis County, Texas",2569,2275,31,15,44,3,114,87
1400000US48453001402,48453001402,"Census Tract 14.02, Travis County, Texas",2625,2259,77,13,26,1,176,73
1400000US48453001403,48453001403,"Census Tract 14.03, Travis County, Texas",1556,1109,69,14,38,0,251,75
1400000US48453001501,48453001501,"Census Tract 15.01, Travis County, Texas",4595,4318,28,23,58,1,99,68
1400000US48453001503,48453001503,"Census Tract 15.03, Travis County, Texas",3998,2863,174,32,49,2,757,121
1400000US48453001504,48453001504,"Census Tract 15.04, Travis County, Texas",3974,3495,51,28,58,1,236,105
1400000US48453001505,48453001505,"Census Tract 15.05, Travis County, Texas",4314,3737,62,31,77,7,277,123
1400000US48453001602,48453001602,"Census Tract 16.02, Travis County, Texas",4035,2567,57,17,1033,2,179,180
1400000US48453001603,48453001603,"Census Tract 16.03, Travis County, Texas",4202,4064,18,8,20,0,56,36
1400000US48453001604,48453001604,"Census Tract 16.04, Travis County, Texas",3904,3768,17,18,16,3,33,49
1400000US48453001605,48453001605,"Census Tract 16.05, Travis County, Texas",3878,3574,37,14,90,0,86,77
1400000US48453001606,48453001606,"Census Tract 16.06, Travis County, Texas",450,315,54,0,2,0,79,0
1400000US48453001705,48453001705,"Census Tract 17.05, Travis County, Texas",4468,4174,46,3,155,0,51,39
1400000US48453001706,48453001706,"Census Tract 17.06, Travis County, Texas",3368,3094,49,11,123,0,51,40
1400000US48453001707,48453001707,"Census Tract 17.07, Travis County, Texas",4437,3934,83,9,208,0,123,80
1400000US48453001712,48453001712,"Census Tract 17.12, Travis County, Texas",4195,3173,137,21,60,0,640,164
1400000US48453001713,48453001713,"Census Tract 17.13, Travis County, Texas",4075,3009,202,25,57,3,627,152
1400000US48453001714,48453001714,"Census Tract 17.14, Travis County, Texas",5821,5000,103,8,536,4,73,97
1400000US48453001715,48453001715,"Census Tract 17.15, Travis County, Texas",8091,6721,146,11,939,0,149,125
1400000US48453001716,48453001716,"Census Tract 17.16, Travis County, Texas",4052,3637,73,10,227,1,50,54
1400000US48453001718,48453001718,"Census Tract 17.18, Travis County, Texas",5550,4864,57,7,381,1,143,97
