GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10
Id,Id2,Geography,Total:,Built 1999 to March 2000,Built 1995 to 1998,Built 1990 to 1994,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier
1400000US48021950100,48021950100,"Census Tract 9501, Bastrop County, Texas",2832,119,479,378,786,454,164,64,123,265
1400000US48021950200,48021950200,"Census Tract 9502, Bastrop County, Texas",2232,63,151,84,337,374,369,313,255,286
1400000US48021950300,48021950300,"Census Tract 9503, Bastrop County, Texas",3028,288,661,285,756,554,234,114,70,66
1400000US48021950400,48021950400,"Census Tract 9504, Bastrop County, Texas",2973,101,357,247,903,405,277,209,163,311
1400000US48021950500,48021950500,"Census Tract 9505, Bastrop County, Texas",4043,300,905,488,1160,701,217,129,55,88
1400000US48021950600,48021950600,"Census Tract 9506, Bastrop County, Texas",2106,147,278,247,562,345,152,113,133,129
1400000US48021950700,48021950700,"Census Tract 9507, Bastrop County, Texas",1797,14,112,82,344,261,217,182,145,440
1400000US48021950800,48021950800,"Census Tract 9508, Bastrop County, Texas",3243,377,755,484,870,442,83,63,42,127
1400000US48055960100,48055960100,"Census Tract 9601, Caldwell County, Texas",2767,223,578,271,797,314,168,126,75,215
1400000US48055960200,48055960200,"Census Tract 9602, Caldwell County, Texas",1209,87,125,113,266,235,104,97,140,42
1400000US48055960300,48055960300,"Census Tract 9603, Caldwell County, Texas",1437,7,72,37,369,271,111,259,135,176
1400000US48055960400,48055960400,"Census Tract 9604, Caldwell County, Texas",1355,0,146,69,367,306,177,57,73,160
1400000US48055960500,48055960500,"Census Tract 9605, Caldwell County, Texas",2029,146,348,145,463,321,143,139,120,204
1400000US48055960600,48055960600,"Census Tract 9606, Caldwell County, Texas",921,45,141,112,208,176,95,77,17,50
1400000US48055960700,48055960700,"Census Tract 9607, Caldwell County, Texas",2183,77,61,38,364,368,333,345,187,410
1400000US48209010100,48209010100,"Census Tract 101, Hays County, Texas",908,0,6,6,166,171,104,122,89,244
1400000US48209010200,48209010200,"Census Tract 102, Hays County, Texas",669,0,21,38,132,201,96,93,22,66
1400000US48209010301,48209010301,"Census Tract 103.01, Hays County, Texas",4098,105,684,292,1527,887,263,139,171,30
1400000US48209010302,48209010302,"Census Tract 103.02, Hays County, Texas",1696,19,138,98,574,329,169,200,130,39
1400000US48209010400,48209010400,"Census Tract 104, Hays County, Texas",1716,131,332,112,418,367,197,93,38,28
1400000US48209010500,48209010500,"Census Tract 105, Hays County, Texas",991,29,20,58,129,237,111,119,192,96
1400000US48209010600,48209010600,"Census Tract 106, Hays County, Texas",3039,83,423,415,967,512,327,135,91,86
1400000US48209010700,48209010700,"Census Tract 107, Hays County, Texas",3616,483,581,208,953,852,333,133,35,38
1400000US48209010801,48209010801,"Census Tract 108.01, Hays County, Texas",4718,437,1178,819,1306,499,93,73,59,254
1400000US48209010802,48209010802,"Census Tract 108.02, Hays County, Texas",4828,305,957,482,1434,963,232,219,136,100
1400000US48209010901,48209010901,"Census Tract 109.01, Hays County, Texas",2201,49,375,175,1166,323,56,22,18,17
1400000US48209010902,48209010902,"Census Tract 109.02, Hays County, Texas",1986,441,242,209,682,123,33,62,63,131
1400000US48209010903,48209010903,"Census Tract 109.03, Hays County, Texas",2568,221,704,334,880,238,99,37,3,52
1400000US48209010904,48209010904,"Census Tract 109.04, Hays County, Texas",2609,407,868,184,283,318,164,114,79,192
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",1802,6,24,0,72,170,251,911,300,68
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",1132,8,72,23,160,131,153,546,33,6
1400000US48453000201,48453000201,"Census Tract 2.01, Travis County, Texas",3569,0,81,46,368,615,594,955,742,168
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",316,0,244,19,8,0,35,1,4,5
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",1726,13,56,76,149,286,300,195,283,368
1400000US48453000301,48453000301,"Census Tract 3.01, Travis County, Texas",3441,6,50,27,322,732,484,624,662,534
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",3061,0,14,75,281,902,432,356,299,702
1400000US48453000303,48453000303,"Census Tract 3.03, Travis County, Texas",1221,0,0,6,35,150,318,334,349,29
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",1837,26,19,11,136,381,293,420,348,203
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",1333,0,7,22,159,311,168,330,215,121
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",2813,0,31,115,399,579,365,409,281,634
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",320,0,0,0,48,93,92,65,22,0
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",2607,0,98,144,702,707,407,203,55,291
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",2248,7,17,48,472,538,486,288,91,301
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",865,0,16,0,121,104,310,72,99,143
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",507,0,0,0,44,26,86,207,85,59
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",1171,7,30,84,167,302,132,241,167,41
