,team,year,DL,LB,OL,QB,RB,S,ST,TE,WR,nDL,nLB,nOL,nQB,nRB,nS,nST,nTE,nWR
0,ARI,2013,22299901.0,11530402.0,19069690.0,6172994.0,5306754.0,12966833.0,4716666.0,4353077.0,15138466.0,10.0,9.0,10.0,3.0,5.0,12.0,3.0,5.0,6.0
1,ATL,2013,11741812.0,15094845.0,16507475.0,9899474.0,5945249.0,16532952.0,4022283.0,6937146.0,17406641.0,9.0,8.0,13.0,2.0,5.0,11.0,3.0,5.0,6.0
2,BAL,2013,22309873.0,23189777.0,18919033.0,7381327.0,6466477.0,14359826.0,3735000.0,3966000.0,8096045.0,9.0,12.0,9.0,2.0,3.0,10.0,3.0,3.0,7.0
3,BUF,2013,29881039.0,5413129.0,14455361.0,4913939.0,7656985.0,17342171.0,2358844.0,4969668.0,8979223.0,8.0,5.0,10.0,4.0,3.0,10.0,4.0,6.0,8.0
4,CAR,2013,16725994.0,12335910.0,15885123.0,7514454.0,8446450.0,9884309.0,2079670.0,4880000.0,11231313.0,10.0,7.0,14.0,3.0,3.0,11.0,3.0,4.0,9.0
5,CHI,2013,27866083.0,14352960.0,10551052.0,11276471.0,11224916.0,18891371.0,6290000.0,2560000.0,16580065.0,10.0,8.0,11.0,3.0,3.0,11.0,3.0,2.0,7.0
6,CIN,2013,39328918.0,7989422.0,21288147.0,2760833.0,5750703.0,21952362.0,5660000.0,4417841.0,9183272.0,12.0,10.0,10.0,3.0,4.0,11.0,4.0,3.0,7.0
7,CLE,2013,20232076.0,21764668.0,24194033.0,4171298.0,2200880.0,13327249.0,2421666.0,1970527.0,5723178.0,9.0,9.0,12.0,4.0,5.0,10.0,4.0,4.0,7.0
8,DAL,2013,5122265.0,27662497.0,19470710.0,13818980.0,2257011.0,16274195.0,2095833.0,5623757.0,7392268.0,7.0,14.0,11.0,3.0,4.0,12.0,3.0,3.0,5.0
9,DEN,2013,12040751.0,12951884.0,25448424.0,18716294.0,5015552.0,23417570.0,5793833.0,8013902.0,9248787.0,10.0,9.0,11.0,3.0,4.0,13.0,3.0,4.0,4.0
10,DET,2013,20985856.0,11979067.0,13471450.0,21556666.0,3997008.0,10877140.0,1685075.0,4403158.0,15085668.0,8.0,9.0,10.0,3.0,4.0,12.0,3.0,5.0,7.0
11,GB,2013,17949211.0,19688800.0,17540972.0,12663000.0,2463832.0,19040944.0,4276250.0,11484635.0,9911921.0,8.0,11.0,11.0,4.0,5.0,12.0,3.0,5.0,7.0
12,HOU,2013,16692424.0,9866646.0,18690873.0,11756250.0,9801307.0,23993028.0,2476610.0,7033223.0,15620004.0,9.0,10.0,12.0,3.0,7.0,12.0,3.0,5.0,7.0
13,IND,2013,12837391.0,20856072.0,23101450.0,8524545.0,7079420.0,22364641.0,6857000.0,2321837.0,12534675.0,8.0,14.0,11.0,2.0,7.0,11.0,3.0,3.0,7.0
14,JAC,2013,13723223.0,13640293.0,14340197.0,8347587.0,8961344.0,6203698.0,4368871.0,7160882.0,6806787.0,12.0,7.0,11.0,3.0,5.0,11.0,3.0,4.0,10.0
15,KC,2013,13759289.0,22543136.0,20899570.0,10708333.0,6779755.0,26348303.0,3888750.0,3518238.0,7268150.0,7.0,9.0,12.0,3.0,4.0,10.0,3.0,5.0,6.0
16,LAC,2013,6241425.0,18315167.0,17603168.0,15996516.0,5029250.0,16280023.0,5652500.0,8795715.0,10926398.0,7.0,12.0,11.0,3.0,3.0,12.0,3.0,4.0,7.0
17,LA,2013,20797990.0,18807996.0,19325657.0,13392823.0,2637944.0,20849529.0,1651371.0,5707555.0,5479735.0,8.0,8.0,12.0,3.0,5.0,11.0,3.0,3.0,6.0
18,MIA,2013,27791938.0,9006508.0,18493526.0,5859205.0,1929852.0,18316589.0,3179890.0,6007127.0,8725373.0,8.0,7.0,12.0,3.0,3.0,14.0,3.0,4.0,7.0
19,MIN,2013,36632382.0,13088356.0,20329032.0,9123684.0,15441147.0,10163875.0,2010531.0,4582244.0,9698856.0,10.0,8.0,10.0,4.0,4.0,11.0,3.0,4.0,6.0
20,NE,2013,16134743.0,16975452.0,22529989.0,14603953.0,2914034.0,15934790.0,4360500.0,4150882.0,8856755.0,11.0,9.0,11.0,2.0,4.0,11.0,3.0,4.0,8.0
21,NO,2013,9802527.0,22400832.0,17964025.0,18193235.0,9159750.0,21608953.0,2775294.0,3545951.0,11679433.0,10.0,10.0,8.0,3.0,5.0,13.0,3.0,3.0,7.0
22,NYG,2013,18630276.0,9898207.0,24220897.0,21998400.0,5036739.0,23913981.0,3494000.0,2998913.0,8677626.0,10.0,8.0,12.0,3.0,6.0,12.0,3.0,4.0,7.0
23,NYJ,2013,5670185.0,19368929.0,21528632.0,15270780.0,4154534.0,16325513.0,1672352.0,2593763.0,12561933.0,6.0,9.0,10.0,4.0,7.0,12.0,3.0,5.0,9.0
24,OAK,2013,6568845.0,7688981.0,10275023.0,405000.0,11765884.0,13440874.0,6491166.0,2062838.0,4784602.0,8.0,8.0,11.0,1.0,5.0,11.0,3.0,4.0,8.0
25,PHI,2013,8855767.0,16642817.0,25606906.0,13405137.0,6188112.0,12952896.0,2320027.0,5509036.0,19199989.0,9.0,8.0,9.0,3.0,4.0,11.0,3.0,2.0,8.0
26,PIT,2013,13261588.0,21979115.0,12023886.0,15393138.0,2549641.0,25466758.0,2676324.0,9207474.0,11197844.0,8.0,11.0,14.0,3.0,4.0,11.0,3.0,5.0,6.0
27,SF,2013,12154994.0,17612219.0,17468346.0,2027535.0,9009396.0,23507693.0,6831666.0,10043077.0,16945181.0,9.0,9.0,10.0,2.0,5.0,11.0,3.0,4.0,7.0
28,SEA,2013,32619342.0,7377215.0,27955261.0,1521085.0,10137005.0,12254161.0,2792500.0,12778786.0,16831421.0,12.0,8.0,10.0,2.0,4.0,12.0,3.0,4.0,7.0
29,TB,2013,19413715.0,9091661.0,26073673.0,1184375.0,3691753.0,29146836.0,7730000.0,2393504.0,13432502.0,10.0,9.0,11.0,2.0,8.0,12.0,5.0,5.0,7.0
30,TEN,2013,6951153.0,14062503.0,26721984.0,6336957.0,14830392.0,20379543.0,4640041.0,6979500.0,12360953.0,7.0,8.0,10.0,4.0,3.0,11.0,3.0,3.0,8.0
31,WAS,2013,14668238.0,19815079.0,19942967.0,5972967.0,2261058.0,12296561.0,2650000.0,4639357.0,19610688.0,9.0,13.0,10.0,3.0,5.0,12.0,4.0,4.0,8.0
