Request ID,Location Name,Landmark,Request Type,Request Status,Evaluation Status,Funding Status,Evaluation Rank,Evaluation Score,Ranking Month,Ranking Year,Primary St Block,Primary St Prefix Direction,Primary St,Cross St Block,Cross St Prefix,Cross St,Evaluation ID,Location,Request Note,Location Latitude,Location Longitude
REQ14-000035,RIVER PLACE BLVD / RIVER PLACE BLVD,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,23,65,DEC,2014,6500,,RIVER PLACE BLVD,6200,,RIVER PLACE BLVD,TVL14-001075,"(30.3915071, -97.8477466)",,30.3915071,-97.8477466
REQ14-000070,AVERY RANCH BLVD / QUARRY OAKS TRL,,TRAFFIC,UNDER EVALUATION,IN PROGRESS,None Identified,71,100,DEC,2017,14000,,AVERY RANCH BLVD,10700,,QUARRY OAKS TRL,TVL17-003995,"(30.4957876, -97.7842796)",,30.4957876,-97.7842796
REQ14-000075,ANDERSON LN / ANDERSON SQ,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,17,139,DEC,2014,1200,W,ANDERSON LN,7900,,ANDERSON SQ,TVL14-001035,"(30.3497063, -97.7173046)",,30.3497063,-97.7173046
REQ14-000025,8400 BLK N FM 620 RD,,TRAFFIC,UNDER EVALUATION,IN PROGRESS,None Identified,71,100,DEC,2017,8400,N,FM 620 RD,0,,,TVL17-004020,"(30.42473, -97.844064)",,30.42473,-97.844064
REQ14-000080,SOUTHWEST PKWY / BELGRADE DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,120,25,DEC,2016,8200,,SOUTHWEST PKWY,5501,,BELGRADE DR,TVL16-002295,"(30.2576194, -97.8818182)",,30.2576194,-97.8818182
REQ14-000110,RIVERSIDE DR / METRO CENTER DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,25,165,DEC,2016,7701,E,RIVERSIDE DR,7400,,METRO CENTER DR,TVL16-002315,"(30.2169356, -97.6898713)",,30.2169356,-97.6898713
REQ14-000110,RIVERSIDE DR / METRO CENTER DR,,TRAFFIC,UNDER EVALUATION,IN PROGRESS,None Identified,52,135,DEC,2017,7701,E,RIVERSIDE DR,7400,,METRO CENTER DR,TVL17-003970,"(30.2169356, -97.6898713)",,30.2169356,-97.6898713
REQ14-000125,DESSAU RD / PEARL RETREAT LN,,TRAFFIC,UNDER EVALUATION,IN PROGRESS,Private,4,310,DEC,2017,12542,,DESSAU RD,1700,,PEARL RETREAT LN,TVL17-003965,"(30.392456, -97.645708)",,30.392456,-97.645708
REQ14-000140,SAN ANTONIO ST / 12TH ST,,TRAFFIC,NOT RECOMMENDED,COMPLETED,None Identified,1,360,DEC,2014,1200,,SAN ANTONIO ST,500,W,12TH ST,TVL14-000970,"(30.2751044, -97.7452341)",No criteria warranting a signal were met.,30.2751044,-97.7452341
REQ14-000150,CESAR CHAVEZ ST / PEDERNALES ST,,TRAFFIC,TURNED_ON,COMPLETED,Funded,19,190,JUL,2014,2400,E,CESAR CHAVEZ ST,100,,PEDERNALES ST,TVL14-000960,"(30.2543983, -97.7167587)",,30.2543983,-97.7167587
